import time: self [us] | cumulative | imported package
import time:       577 |        577 |                     setuptools._vendor.pyparsing.unicode
import time:      1487 |       2063 |                   setuptools._vendor.pyparsing.exceptions
import time:       319 |        319 |                   setuptools._vendor.pyparsing.actions
import time:       346 |        346 |                     setuptools._vendor.pyparsing.results
import time:      7104 |       7449 |                   setuptools._vendor.pyparsing.core
import time:      2811 |       2811 |                   setuptools._vendor.pyparsing.helpers
import time:       338 |        338 |                   setuptools._vendor.pyparsing.testing
import time:      4925 |       4925 |                   setuptools._vendor.pyparsing.common
import time:       797 |      19017 |                 setuptools._vendor.pyparsing
import time:        86 |      19102 |               setuptools.extern.pyparsing
import time:       520 |        520 |                       setuptools._vendor.packaging._manylinux
import time:       299 |        299 |                       setuptools._vendor.packaging._musllinux
import time:       420 |       1238 |                     setuptools.extern.packaging.tags
import time:       152 |        152 |                       setuptools.extern.packaging._structures
import time:       852 |       1003 |                     setuptools.extern.packaging.version
import time:       272 |       2513 |                   setuptools.extern.packaging.utils
import time:       731 |       3244 |                 setuptools.extern.packaging.specifiers
import time:      1433 |       4677 |               setuptools.extern.packaging.markers
import time:      3295 |      27072 |             setuptools.extern.packaging.requirements
import time:       175 |        175 |                 setuptools._vendor.jaraco
import time:       223 |        398 |               setuptools.extern.jaraco
import time:       322 |        720 |             setuptools.extern.jaraco.context
import time:       307 |        307 |             setuptools.extern.jaraco.functools
import time:        94 |         94 |                     _csv
import time:       482 |        575 |                   csv
import time:       239 |        239 |                   setuptools._vendor.zipp
import time:       114 |        114 |                       setuptools._vendor.importlib_metadata._functools
import time:       158 |        271 |                     setuptools._vendor.importlib_metadata._text
import time:       283 |        553 |                   setuptools._vendor.importlib_metadata._adapters
import time:       131 |        131 |                     setuptools._vendor.importlib_metadata._compat
import time:       298 |        429 |                   setuptools._vendor.importlib_metadata._meta
import time:       273 |        273 |                   setuptools._vendor.importlib_metadata._collections
import time:       116 |        116 |                   setuptools._vendor.importlib_metadata._itertools
import time:      1449 |       3632 |                 setuptools._vendor.importlib_metadata
import time:        97 |       3728 |               setuptools.extern.importlib_metadata
import time:       171 |       3899 |             setuptools._vendor.nspektr._compat
import time:       315 |      32311 |           setuptools._vendor.nspektr
import time:        75 |      32385 |         setuptools.extern.nspektr
import time:        92 |         92 |           importlib_metadata
import time:       161 |        161 |                   setuptools._vendor.importlib_resources._compat
import time:       256 |        416 |                 setuptools._vendor.importlib_resources.abc
import time:       247 |        663 |               setuptools._vendor.importlib_resources._common
import time:       185 |        185 |               setuptools._vendor.importlib_resources._legacy
import time:       166 |       1013 |             setuptools._vendor.importlib_resources
import time:        66 |       1079 |           setuptools.extern.importlib_resources
import time:       184 |       1354 |         setuptools._importlib
import time:       255 |        255 |           distutils.command.bdist
import time:       142 |        396 |         setuptools.command
import time:       142 |        142 |         setuptools.windows_support
import time:       195 |        195 |                 _ast
import time:       389 |        584 |               ast
import time:       825 |       1408 |             setuptools.config.expand
import time:       853 |       2261 |           setuptools.config.setupcfg
import time:       188 |       2448 |         setuptools.config
import time:       167 |        167 |           setuptools.errors
import time:      2138 |       2138 |               email._header_value_parser
import time:       450 |       2588 |             email.headerregistry
